year,total_precipitation,median_precipitation
38.847,21435.0,1094.0
38.848,21435.0,1094.0
38.849,51444.0,1094.0
38.85,42870.0,1094.0
38.851,4287.0,1094.0
38.853,12861.0,1094.0
38.855,4287.0,1094.0
38.856,12861.0,1094.0
38.858,8574.0,1094.0
38.859,8574.0,1094.0
38.86,4287.0,1094.0
38.861,8574.0,1094.0
38.862,4287.0,1094.0
38.863,8574.0,1094.0
38.865,8574.0,1094.0
38.866,8574.0,1094.0
38.868,12861.0,1094.0
38.869,4287.0,1094.0
38.871,8574.0,1094.0
38.872,8574.0,1094.0
38.873,4287.0,1094.0
38.874,4287.0,1094.0
38.875,8574.0,1094.0
38.876,8574.0,1094.0
38.878,12861.0,1094.0
38.879,4287.0,1094.0
38.88,8574.0,1094.0
38.881,8574.0,1094.0
38.882,4287.0,1094.0
38.883,8574.0,1094.0
38.884,4287.0,1094.0
38.885,8574.0,1094.0
38.886,8574.0,1094.0
38.887,8574.0,1094.0
38.888,4287.0,1094.0
38.889,17148.0,1094.0
38.89,4287.0,1094.0
38.891,8574.0,1094.0
38.892,8574.0,1094.0
38.893,12861.0,1094.0
38.894,4287.0,1094.0
38.895,21435.0,1094.0
38.896,21435.0,1094.0
38.897,21435.0,1094.0
38.898,30009.0,1094.0
38.899,34296.0,1094.0
38.9,51444.0,1094.0
38.901,4287.0,1094.0
38.903,12861.0,1094.0
38.904,4287.0,1094.0
38.906,12861.0,1094.0
38.908,8574.0,1094.0
38.909,8574.0,1094.0
38.91,4287.0,1094.0
38.911,8574.0,1094.0
38.912,4287.0,1094.0
38.913,12861.0,1094.0
38.915,8574.0,1094.0
38.916,8574.0,1094.0
38.917,4287.0,1094.0
38.918,12861.0,1094.0
38.919,4287.0,1094.0
38.921,8574.0,1094.0
38.922,8574.0,1094.0
38.923,4287.0,1094.0
38.924,4287.0,1094.0
38.925,12861.0,1094.0
38.926,4287.0,1094.0
38.928,12861.0,1094.0
38.929,4287.0,1094.0
38.93,8574.0,1094.0
38.931,8574.0,1094.0
38.932,8574.0,1094.0
38.933,4287.0,1094.0
38.934,8574.0,1094.0
38.935,4287.0,1094.0
38.936,8574.0,1094.0
38.937,8574.0,1094.0
38.938,4287.0,1094.0
38.939,12861.0,1094.0
38.94,8574.0,1094.0
38.941,8574.0,1094.0
38.942,8574.0,1094.0
38.943,12861.0,1094.0
38.944,4287.0,1094.0
38.945,17148.0,1094.0
38.946,17148.0,1094.0
38.947,25722.0,1094.0
38.948,17148.0,1094.0
38.949,42870.0,1094.0
38.95,51444.0,1094.0
38.951,4287.0,1094.0
38.952,4287.0,1094.0
38.953,8574.0,1094.0
38.955,8574.0,1094.0
38.956,12861.0,1094.0
38.958,8574.0,1094.0
38.959,8574.0,1094.0
38.96,4287.0,1094.0
38.961,4287.0,1094.0
38.962,8574.0,1094.0
38.963,12861.0,1094.0
38.965,8574.0,1094.0
38.966,8574.0,1094.0
38.967,4287.0,1094.0
38.968,12861.0,1094.0
38.969,4287.0,1094.0
38.971,12861.0,1094.0
38.972,4287.0,1094.0
38.973,4287.0,1094.0
38.974,8574.0,1094.0
38.975,8574.0,1094.0
38.976,4287.0,1094.0
38.977,4287.0,1094.0
38.978,8574.0,1094.0
38.979,4287.0,1094.0
38.98,12861.0,1094.0
38.981,4287.0,1094.0
38.982,4287.0,1094.0
38.983,8574.0,1094.0
38.984,8574.0,1094.0
38.985,4287.0,1094.0
38.986,8574.0,1094.0
38.987,8574.0,1094.0
38.988,4287.0,1094.0
38.989,17148.0,1094.0
38.99,4287.0,1094.0
38.991,8574.0,1094.0
38.992,8574.0,1094.0
38.993,12861.0,1094.0
38.994,4287.0,1094.0
38.995,17148.0,1094.0
38.996,17148.0,1094.0
38.997,25722.0,1094.0
38.998,25722.0,1094.0
38.999,38583.0,1094.0
39.0,47157.0,1094.0
39.001,4287.0,1094.0
39.002,4287.0,1094.0
39.003,8574.0,1094.0
39.004,4287.0,1094.0
39.005,12861.0,1094.0
39.006,4287.0,1094.0
39.008,8574.0,1094.0
39.009,8574.0,1094.0
39.01,4287.0,1094.0
39.011,8574.0,1094.0
39.012,4287.0,1094.0
39.013,12861.0,1094.0
39.015,8574.0,1094.0
39.016,8574.0,1094.0
39.018,12861.0,1094.0
39.019,4287.0,1094.0
39.021,12861.0,1094.0
39.022,4287.0,1094.0
39.023,4287.0,1094.0
39.024,8574.0,1094.0
39.025,8574.0,1094.0
39.026,4287.0,1094.0
39.027,4287.0,1094.0
39.028,8574.0,1094.0
39.029,4287.0,1094.0
39.03,12861.0,1094.0
39.031,4287.0,1094.0
39.032,8574.0,1094.0
39.033,4287.0,1094.0
39.034,8574.0,1094.0
39.035,4287.0,1094.0
39.036,12861.0,1094.0
39.037,4287.0,1094.0
39.038,4287.0,1094.0
39.039,17148.0,1094.0
39.04,4287.0,1094.0
39.041,8574.0,1094.0
39.042,8574.0,1094.0
39.043,12861.0,1094.0
39.044,4287.0,1094.0
39.045,17148.0,1094.0
39.046,17148.0,1094.0
39.047,25722.0,1094.0
39.048,25722.0,1094.0
39.049,30009.0,1094.0
39.05,55731.0,1094.0
39.051,4287.0,1094.0
39.052,4287.0,1094.0
39.053,8574.0,1094.0
39.054,8574.0,1094.0
39.055,8574.0,1094.0
39.056,4287.0,1094.0
39.058,8574.0,1094.0
39.059,8574.0,1094.0
39.06,4287.0,1094.0
39.061,8574.0,1094.0
39.062,4287.0,1094.0
39.063,12861.0,1094.0
39.065,8574.0,1094.0
39.066,8574.0,1094.0
39.068,12861.0,1094.0
39.069,4287.0,1094.0
39.071,12861.0,1094.0
39.072,4287.0,1094.0
39.073,4287.0,1094.0
39.074,8574.0,1094.0
39.075,8574.0,1094.0
39.076,4287.0,1094.0
39.077,4287.0,1094.0
39.078,8574.0,1094.0
39.079,4287.0,1094.0
39.08,12861.0,1094.0
39.081,4287.0,1094.0
39.082,4287.0,1094.0
39.083,8574.0,1094.0
39.084,8574.0,1094.0
39.085,4287.0,1094.0
39.086,8574.0,1094.0
39.087,8574.0,1094.0
39.088,4287.0,1094.0
39.089,12861.0,1094.0
39.09,8574.0,1094.0
39.091,8574.0,1094.0
39.092,8574.0,1094.0
39.093,12861.0,1094.0
39.094,8574.0,1094.0
39.095,12861.0,1094.0
39.096,17148.0,1094.0
39.097,25722.0,1094.0
39.098,17148.0,1094.0
39.099,47157.0,1094.0
39.1,47157.0,1094.0
39.101,4287.0,1094.0
39.102,4287.0,1094.0
39.103,4287.0,1094.0
39.104,4287.0,1094.0
39.105,8574.0,1094.0
39.106,4287.0,1094.0
39.108,8574.0,1094.0
39.109,4287.0,1094.0
39.11,4287.0,1094.0
39.111,8574.0,1094.0
39.112,4287.0,1094.0
39.113,8574.0,1094.0
39.115,8574.0,1094.0
39.116,8574.0,1094.0
39.118,12861.0,1094.0
39.119,4287.0,1094.0
39.12,4287.0,1094.0
39.121,8574.0,1094.0
39.122,4287.0,1094.0
39.123,4287.0,1094.0
39.124,8574.0,1094.0
39.125,8574.0,1094.0
39.126,4287.0,1094.0
39.127,8574.0,1094.0
39.128,4287.0,1094.0
39.129,4287.0,1094.0
39.13,12861.0,1094.0
39.131,4287.0,1094.0
39.132,4287.0,1094.0
39.133,8574.0,1094.0
39.134,8574.0,1094.0
39.135,4287.0,1094.0
39.136,12861.0,1094.0
39.137,4287.0,1094.0
39.138,4287.0,1094.0
39.139,17148.0,1094.0
39.14,4287.0,1094.0
39.141,8574.0,1094.0
39.142,8574.0,1094.0
39.143,12861.0,1094.0
39.144,4287.0,1094.0
39.145,25722.0,1094.0
39.146,17148.0,1094.0
39.147,25722.0,1094.0
39.148,25722.0,1094.0
39.149,30009.0,1094.0
39.15,51444.0,1094.0
39.151,4287.0,1094.0
39.153,8574.0,1094.0
39.154,4287.0,1094.0
39.155,8574.0,1094.0
39.156,4287.0,1094.0
39.158,12861.0,1094.0
39.16,8574.0,1094.0
39.161,4287.0,1094.0
39.162,4287.0,1094.0
39.163,8574.0,1094.0
39.165,8574.0,1094.0
39.166,8574.0,1094.0
39.168,12861.0,1094.0
39.169,4287.0,1094.0
39.17,4287.0,1094.0
39.171,8574.0,1094.0
39.172,4287.0,1094.0
39.173,4287.0,1094.0
39.174,8574.0,1094.0
39.175,8574.0,1094.0
39.176,4287.0,1094.0
39.177,4287.0,1094.0
39.178,8574.0,1094.0
39.179,4287.0,1094.0
39.18,12861.0,1094.0
39.181,4287.0,1094.0
39.182,8574.0,1094.0
39.183,4287.0,1094.0
39.184,8574.0,1094.0
39.185,4287.0,1094.0
39.186,12861.0,1094.0
39.187,4287.0,1094.0
39.188,8574.0,1094.0
39.189,8574.0,1094.0
39.19,8574.0,1094.0
39.191,8574.0,1094.0
39.192,8574.0,1094.0
39.193,12861.0,1094.0
39.194,12861.0,1094.0
39.195,21435.0,1094.0
39.196,17148.0,1094.0
39.197,25722.0,1094.0
39.198,17148.0,1094.0
39.199,38583.0,1094.0
39.2,51444.0,1094.0
39.201,4287.0,1094.0
39.202,4287.0,1094.0
39.203,4287.0,1094.0
39.204,4287.0,1094.0
39.205,8574.0,1094.0
39.206,4287.0,1094.0
39.208,12861.0,1094.0
39.21,8574.0,1094.0
39.211,4287.0,1094.0
39.212,4287.0,1094.0
39.213,8574.0,1094.0
